question_id,topic,question_text,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,answer,question_type,nb_choices,nb_comments,url,page,explanation
44,1,Which two components function in the DB platform architecture’s control plane? (Choose two.),Virtual Machines,Compute Orchestration,Serverless Compute,Compute,Unity Catalog,,B|E,multiple,5,2,https://www.examtopics.com/discussions/databricks/view/149799-exam-certified-data-engineer-associate-topic-1-question-138/,9,"Les deux composants qui fonctionnent dans le plan de contrôle de l'architecture de la plateforme DB sont B. Compute Orchestration et E. Unity Catalog. Compute Orchestration est responsable de la gestion et de la coordination des ressources de calcul, assurant ainsi une allocation efficace et une gestion des tâches. Unity Catalog, quant à lui, fournit une gestion centralisée des métadonnées et des politiques de gouvernance des données, ce qui est essentiel pour le contrôle et la sécurité des données. Les autres choix, tels que A. Virtual Machines, C. Serverless Compute et D. Compute, se rapportent davantage aux ressources de calcul et d'exécution, qui relèvent du plan de données plutôt que du plan de contrôle."
45,1,"In a healthcare provider organization using Delta Lake to store electronic health records (EHRs), a data analyst needs to analyze a snapshot of the patient_records table from two weeks ago before some recent data corrections were applied.

What approach should the Data Engineer take to allow the analyst to query that specific prior version?","Truncate the table to remove all data, then reload the data from two weeks ago into the truncated table for the analyst to query.","Identify the version number corresponding to two weeks ago from the Delta transaction log, share that version number with the analyst to query using VERSION AS OF syntax, or export that version to a new Delta table for the analyst to query.","Restore the table to the version from two weeks ago using the RESTORE command, and have the analyst query the restored table.","Use the VACUUM command to remove all versions of the table older than two weeks, then the analyst can query the remaining version.",,,B,single,4,3,https://www.examtopics.com/discussions/databricks/view/149954-exam-certified-data-engineer-associate-topic-1-question-139/,9,"La réponse correcte est B. Delta Lake conserve un journal des transactions qui permet de suivre les versions des tables au fil du temps. En identifiant le numéro de version correspondant à il y a deux semaines dans ce journal, l'analyste peut interroger cette version spécifique en utilisant la syntaxe VERSION AS OF. Cette approche est non destructive et permet de conserver toutes les versions de la table, contrairement à l'option A qui implique de tronquer et de recharger les données, ou à l'option D qui utilise la commande VACUUM pour supprimer les versions plus anciennes. L'option C, qui consiste à restaurer la table, pourrait perturber l'état actuel de la table pour d'autres utilisateurs."
46,1,"A data engineer wants to create a new table containing the names of customers that live in France.
They have written the following command:
//IMG//

A senior data engineer mentions that it is organization policy to include a table property indicating that the new table includes personally identifiable information (PII).
Which of the following lines of code fills in the above blank to successfully complete the task?",There is no way to indicate whether a table contains PII.,"""COMMENT PII""",TBLPROPERTIES PII,"COMMENT ""Contains PII""",PII,,D,single,5,22,https://www.examtopics.com/discussions/databricks/view/104865-exam-certified-data-engineer-associate-topic-1-question-14/,10,"La réponse correcte est D. COMMENT ""Contains PII"". Dans de nombreux systèmes de gestion de bases de données, la propriété COMMENT est utilisée pour ajouter des descriptions ou des informations supplémentaires à propos d'une table. En utilisant COMMENT ""Contains PII"", l'ingénieur de données peut indiquer que la table contient des informations personnellement identifiables (PII). Les autres choix, tels que A, B, C, et E, ne sont pas des syntaxes valides pour ajouter un commentaire ou une propriété à une table dans la plupart des systèmes de bases de données. Par exemple, TBLPROPERTIES est souvent utilisé pour d'autres types de métadonnées, mais pas spécifiquement pour indiquer des informations PII."
47,1,What can be used to simplify and unify siloed data architectures that are specialized for specific use cases?,Delta Lake,Data lake,Data warehouse,Data lakehouse,,,D,single,4,3,https://www.examtopics.com/discussions/databricks/view/152428-exam-certified-data-engineer-associate-topic-1-question-140/,10,"La réponse correcte est D. Data lakehouse. Un data lakehouse combine les avantages d'un data lake et d'un data warehouse, permettant ainsi de simplifier et d'unifier les architectures de données cloisonnées. Contrairement à un data lake (B), qui stocke des données brutes sans structure spécifique, et à un data warehouse (C), qui est optimisé pour des requêtes analytiques sur des données structurées, le data lakehouse offre une flexibilité pour traiter à la fois des données structurées et non structurées. Delta Lake (A) est une technologie qui améliore les data lakes en ajoutant des fonctionnalités de gestion de transactions, mais ne résout pas complètement le problème de l'unification des architectures de données spécialisées."
48,1,"A data engineer has configured a Structured Streaming job to read from a table, manipulate the data, and then perform a streaming write into a new table.

The code block used by the data engineer is below:

//IMG//


The data engineer only wants the query to process all of the available data in as many batches as required.

Which line of code should the data engineer use to fill in the blank?",trigger(availableNow=True),trigger(processingTime= “once”),trigger(continuous= “once”),trigger(once=True),,,A,single,4,4,https://www.examtopics.com/discussions/databricks/view/150350-exam-certified-data-engineer-associate-topic-1-question-141/,10,"La réponse correcte est A. trigger(availableNow=True). Cette option configure le travail de streaming structuré pour traiter toutes les données disponibles en autant de lots que nécessaire, ce qui correspond exactement à l'objectif du data engineer. L'option D, trigger(once=True), ne traiterait les données que dans un seul lot, ce qui n'est pas souhaité ici. Les options B et C, trigger(processingTime= “once”) et trigger(continuous= “once”), ne sont pas des configurations valides pour le déclenchement dans Spark Structured Streaming. Par conséquent, seule l'option A répond correctement au besoin de traiter toutes les données disponibles."
49,1,"Data engineer and data analysts are working together on a data pipeline. The data engineer is working on the raw, bronze, and silver layers of the pipeline using Python, and the data analyst is working on the gold layer of the pipeline using SQL. The raw source of the pipeline is a streaming input. They now want to migrate their pipeline to use Delta Live Tables.

Which of the following changes will need to be made to the pipeline when migrating to Delta Live Tables?",The pipeline can have different notebook sources in SQL & Python,The pipeline will need to be written entirely in SQL,The pipeline will need to use a batch source in place of a streaming source,The pipeline will need to be written entirely in Python,,,A,single,4,5,https://www.examtopics.com/discussions/databricks/view/150641-exam-certified-data-engineer-associate-topic-1-question-142/,10,"La réponse correcte est A. Delta Live Tables permet d'utiliser des notebooks écrits à la fois en SQL et en Python dans le même pipeline, ce qui signifie que les ingénieurs de données et les analystes peuvent continuer à travailler dans leurs langages respectifs. Contrairement à l'option B, il n'est pas nécessaire que le pipeline soit entièrement écrit en SQL. De plus, l'option C est incorrecte car Delta Live Tables prend en charge les sources de données en streaming, il n'est donc pas nécessaire de passer à une source par lots. Enfin, l'option D est incorrecte car le pipeline n'a pas besoin d'être entièrement écrit en Python."
50,1,"Identify a scenario to use an external table.
A Data Engineer needs to create a parquet bronze table and wants to ensure that it gets stored in a specific path in an external location.

Which table can be created in this scenario?",An external table where the location is pointing to specific path in external location.,An external table where the schema has managed location pointing to specific path in external location.,A managed table where the catalog has managed location pointing to specific path in external location.,A managed table where the location is pointing to specific path in external location.,,,A,single,4,2,https://www.examtopics.com/discussions/databricks/view/152431-exam-certified-data-engineer-associate-topic-1-question-143/,10,"La réponse correcte est A. Une table externe où l'emplacement pointe vers un chemin spécifique dans un emplacement externe. Une table externe permet de stocker les données à un emplacement spécifié par l'utilisateur, ce qui est idéal pour les scénarios où les données doivent être conservées dans un emplacement externe spécifique, comme un système de fichiers distribué ou un stockage cloud. Contrairement aux tables gérées (choix C et D), où le système gère l'emplacement des données, les tables externes offrent la flexibilité de définir un chemin précis. Le choix B est incorrect car il mentionne un schéma avec un emplacement géré, ce qui ne correspond pas à la définition d'une table externe."
51,1,"Identify the impact of ON VIOLATION DROP ROW and ON VIOLATION FAIL UPDATE for a constraint violation.

A data engineer has created an ETL pipeline using Delta Live table to manage their company travel reimbursement detail, they want to ensure that the if the location details has not been provided by the employee, the pipeline needs to be terminated.

How can the scenario be implemented?",CONSTRAINT valid_location EXPECT (location = NULL),CONSTRAINT valid_location EXPECT (location != NULL) ON VIOLATION FAIL UPDATE,CONSTRAINT valid_location EXPECT (location != NULL) ON DROP ROW,CONSTRAINT valid_location EXPECT (location != NULL) ON VIOLATION FAIL,,,B,single,4,7,https://www.examtopics.com/discussions/databricks/view/150282-exam-certified-data-engineer-associate-topic-1-question-144/,11,"La réponse correcte est B. CONSTRAINT valid_location EXPECT (location != NULL) ON VIOLATION FAIL UPDATE. Cette option garantit que si le détail de l'emplacement n'est pas fourni par l'employé (location != NULL), le processus de mise à jour échouera, ce qui entraînera l'arrêt du pipeline, conformément aux exigences. L'option A n'est pas correcte car elle attend que la location soit NULL, ce qui est l'opposé de ce qui est souhaité. L'option C, qui utilise ON DROP ROW, ne répond pas à l'exigence de terminer le pipeline, car elle ne fait que supprimer la ligne en violation. Enfin, l'option D, bien qu'elle semble similaire à B, n'inclut pas le mot-clé UPDATE, ce qui est crucial pour la mise à jour dans le contexte d'un pipeline ETL."
52,1,Which two conditions are applicable for governance in Databricks Unity Catalog? (Choose two.),You can have more than 1 metastore within a databricks account console but only 1 per region.,Both catalog and schema must have a managed location in Unity Catalog provided metastore is not associated with a location,You can have multiple catalogs within metastore and 1 catalog can be associated with multiple metastore,"If catalog is not associated with location, it’s mandatory to associate schema with managed locations","If metastore is not associated with location, it’s mandatory to associate catalog with managed locations",,A|E,multiple,5,7,https://www.examtopics.com/discussions/databricks/view/150281-exam-certified-data-engineer-associate-topic-1-question-145/,11,"Les réponses correctes sont A et E. 

A. Dans Databricks Unity Catalog, il est possible d'avoir plus d'un metastore au sein d'un compte Databricks, mais chaque metastore doit être unique par région. Cela garantit une gestion organisée et régionale des données.

E. Si un metastore n'est pas associé à un emplacement, il est obligatoire d'associer le catalogue à des emplacements gérés. Cela permet de s'assurer que les données sont correctement localisées et gérées, même en l'absence d'un emplacement défini pour le metastore. 

Ces conditions sont essentielles pour garantir une gouvernance efficace des données dans Unity Catalog."
53,1,"A data engineer needs to access the view created by the sales team, using a shared cluster. The data engineer has been provided usage permissions on the catalog and schema. In order to access the view created by sales team.

What are the minimum permissions the data engineer would require in addition?",Needs SELECT permission on the VIEW and the underlying TABLE.,Needs SELECT permission only on the VIEW,Needs ALL PRIVILEGES on the VIEW,Needs ALL PRIVILEGES at the SCHEMA level,,,A,single,4,6,https://www.examtopics.com/discussions/databricks/view/151417-exam-certified-data-engineer-associate-topic-1-question-146/,11,"Pour qu'un ingénieur de données puisse accéder à une vue créée par l'équipe commerciale, il doit avoir les permissions appropriées. La réponse A est correcte car l'ingénieur de données a besoin de la permission SELECT sur la VUE pour pouvoir interroger les données qu'elle expose. De plus, il doit également avoir la permission SELECT sur la TABLE sous-jacente, car la vue dépend de cette table pour récupérer les données. Les autres choix, comme B, C, et D, ne sont pas suffisants ou nécessaires, car ils ne garantissent pas l'accès aux données sous-jacentes ou accordent des permissions excessives."
54,1,Which method should a Data Engineer apply to ensure Workflows are being triggered on schedule?,"Scheduled Workflows require an always-running cluster, which is more expensive but reduces processing latency.",Scheduled Workflows process data as it arrives at configured sources.,Scheduled Workflows can reduce resource consumption and expense since the cluster runs only long enough to execute the pipeline.,Scheduled Workflows run continuously until manually stopped.,,,C,single,4,1,https://www.examtopics.com/discussions/databricks/view/153042-exam-certified-data-engineer-associate-topic-1-question-147/,11,"La réponse correcte est C. Les Workflows planifiés permettent de réduire la consommation de ressources et les coûts car le cluster ne fonctionne que le temps nécessaire pour exécuter le pipeline. Contrairement à l'option A, qui suggère qu'un cluster doit toujours être en cours d'exécution, ce qui est plus coûteux, les Workflows planifiés n'exigent pas un fonctionnement continu du cluster. L'option B est incorrecte car elle décrit un traitement en temps réel, pas un traitement planifié. Enfin, l'option D est incorrecte car elle implique que les Workflows fonctionnent en continu, alors que les Workflows planifiés ne s'exécutent que selon un calendrier défini."
55,1,"The Delta transaction log for the ‘students’ tables is shown using the ‘DESCRIBE HISTORY students’ command. A Data Engineer needs to query the table as it existed before the UPDATE operation listed in the log.

Which command should the Data Engineer use to achieve this? (Choose two.)

//IMG//",SELECT * FROM students@v4,SELECT * FROM students TIMESTAMP AS OF ‘2024-04-22T 14:32:47.000+00:00’,SELECT * FROM students FROM HISTORY VERSION AS OF 3,SELECT * FROM students VERSION AS OF 5,SELECT * FROM students TIMESTAMP AS OF ‘2024-04-22T 14:32:58.000+00:00’,,A|B,multiple,5,4,https://www.examtopics.com/discussions/databricks/view/152432-exam-certified-data-engineer-associate-topic-1-question-148/,11,"Les réponses correctes sont A et B. La commande A, `SELECT * FROM students@v4`, permet d'interroger la table telle qu'elle existait à la version 4, qui est la version juste avant l'opération UPDATE. La commande B, `SELECT * FROM students TIMESTAMP AS OF ‘2024-04-22T 14:32:47.000+00:00’`, interroge la table à un moment précis avant l'opération UPDATE, en utilisant un horodatage antérieur à l'opération. Les autres choix ne sont pas corrects car ils se réfèrent à des versions ou des horodatages postérieurs à l'opération UPDATE."
56,1,"An engineering manager uses a Databricks SQL query to monitor ingestion latency for each data source. The manager checks the results of the query every day, but they are manually rerunning the query each day and waiting for the results.

Which of the following approaches can the manager use to ensure the results of the query are updated each day?",They can schedule the query to refresh every 1 day from the SQL endpoint's page in Databricks SQL.,They can schedule the query to refresh every 12 hours from the SQL endpoint's page in Databricks SQL.,They can schedule the query to refresh every 1 day from the query's page in Databricks SQL.,They can schedule the query to run every 12 hours from the Jobs UI.,,,C,single,4,1,https://www.examtopics.com/discussions/databricks/view/153043-exam-certified-data-engineer-associate-topic-1-question-149/,12,"La réponse correcte est C. Dans Databricks SQL, il est possible de planifier l'exécution automatique d'une requête directement depuis la page de la requête elle-même. Cela permet à la requête de se rafraîchir tous les jours sans intervention manuelle, garantissant ainsi que les résultats sont toujours à jour. Les options A et B mentionnent la planification depuis la page de l'endpoint SQL, ce qui n'est pas la méthode correcte pour planifier une requête spécifique. L'option D mentionne l'utilisation de l'interface Jobs, qui est généralement utilisée pour planifier des tâches plus complexes, mais n'est pas nécessaire pour une simple mise à jour quotidienne d'une requête SQL."
57,1,Which of the following benefits is provided by the array functions from Spark SQL?,An ability to work with data in a variety of types at once,An ability to work with data within certain partitions and windows,An ability to work with time-related data in specified intervals,"An ability to work with complex, nested data ingested from JSON files",An ability to work with an array of tables for procedural automation,,D,single,5,27,https://www.examtopics.com/discussions/databricks/view/104649-exam-certified-data-engineer-associate-topic-1-question-15/,12,"Les fonctions de tableau de Spark SQL offrent la capacité de manipuler des données complexes et imbriquées, ce qui est particulièrement utile lors de l'ingestion de fichiers JSON, qui contiennent souvent des structures de données imbriquées. Cela correspond à l'option D. Les autres choix, tels que la capacité de travailler avec des données de différents types (A), de travailler avec des partitions et des fenêtres (B), ou de gérer des données temporelles (C), ne sont pas spécifiquement liés aux fonctions de tableau. De même, la capacité de travailler avec un tableau de tables pour l'automatisation procédurale (E) n'est pas une fonctionnalité directement associée aux fonctions de tableau de Spark SQL."
58,1,"A data engineer needs to apply custom logic to string column city in table stores for a specific use case. In order to apply this custom logic at scale, the data engineer wants to create a SQL user-defined function (UDF).

Which of the following code blocks creates this SQL UDF?",,,D.,,,,A,single,1,2,https://www.examtopics.com/discussions/databricks/view/152586-exam-certified-data-engineer-associate-topic-1-question-150/,12,"La réponse correcte est A. Une fonction définie par l'utilisateur (UDF) en SQL est créée en utilisant la syntaxe CREATE FUNCTION, suivie du nom de la fonction et de ses paramètres. Le bloc de code doit inclure la logique personnalisée qui sera appliquée à la colonne de chaîne, ici ""city"" dans la table ""stores"". Les autres choix, C et D, ne sont pas corrects car ils ne suivent pas la syntaxe appropriée pour créer une UDF en SQL. Par conséquent, seule l'option A respecte les conventions nécessaires pour définir une UDF."
59,1,"A data engineer has realized that they made a mistake when making a daily update to a table. They need to use Delta time travel to restore the table to a version that is 3 days old. However, when the data engineer attempts to time travel to the older version, they are unable to restore the data because the data files have been deleted.

Which of the following explains why the data files are no longer present?",The VACUUM command was run on the table,The TIME TRAVEL command was run on the table,The DELETE HISTORY command was run on the table,The OPTIMIZE command was nun on the table,,,A,single,4,1,https://www.examtopics.com/discussions/databricks/view/153045-exam-certified-data-engineer-associate-topic-1-question-151/,12,"La réponse correcte est A. La commande VACUUM a été exécutée sur la table. En Delta Lake, la commande VACUUM est utilisée pour supprimer définitivement les fichiers de données obsolètes qui ne sont plus nécessaires pour la récupération des versions antérieures. Cela réduit l'espace de stockage, mais empêche également l'utilisation de la fonctionnalité de voyage dans le temps pour restaurer des versions antérieures si les fichiers correspondants ont été supprimés. Les autres options, telles que TIME TRAVEL, DELETE HISTORY, et OPTIMIZE, n'entraînent pas la suppression des fichiers de données nécessaires pour le voyage dans le temps."
60,1,Which of the following describes the relationship between Bronze tables and raw data?,Bronze tables contain less data than raw data files.,Bronze tables contain more truthful data than raw data.,Bronze tables contain raw data with a schema applied.,Bronze tables contain a less refined view of data than raw data.,,,C,single,4,1,https://www.examtopics.com/discussions/databricks/view/153046-exam-certified-data-engineer-associate-topic-1-question-152/,12,"Les tables Bronze sont une étape initiale dans le traitement des données dans un lac de données. Elles contiennent les données brutes, mais avec un schéma appliqué pour structurer ces données, ce qui correspond à l'option C. Cela permet de donner une forme et une organisation aux données brutes sans les transformer ou les filtrer, contrairement à l'idée que les tables Bronze contiendraient moins de données (option A) ou des données plus véridiques (option B). L'option D est incorrecte car les tables Bronze ne sont pas moins raffinées que les données brutes; elles sont simplement une version structurée de ces données."
61,1,"A data engineer only wants to execute the final block of a Python program if the Python variable day_of_week is equal to 1 and the Python variable review_period is True.

Which of the following control flow statements should the data engineer use to begin this conditionally executed code block?",if day_of_week = 1 and review_period:,"if day_of_week = 1 and review_period = ""True"":","if day_of_week = 1 & review_period: = ""True"":",if day_of_week == 1 and review_period:,,,D,single,4,3,https://www.examtopics.com/discussions/databricks/view/152587-exam-certified-data-engineer-associate-topic-1-question-153/,13,"La réponse correcte est D. En Python, l'opérateur de comparaison pour vérifier l'égalité est ""=="", et non ""="" qui est utilisé pour l'affectation. Ainsi, dans l'option A, l'utilisation de ""="" est incorrecte pour comparer la variable ""day_of_week"" à 1. L'option B est incorrecte car elle compare ""review_period"" à la chaîne ""True"" alors que ""review_period"" est déjà un booléen. L'option C utilise un opérateur ""&"" inapproprié pour les conditions logiques et contient une syntaxe incorrecte avec "": ="". L'option D utilise correctement ""=="" pour la comparaison et vérifie que ""review_period"" est vrai, ce qui en fait la bonne réponse."
62,1,Which of the following must be specified when creating a new Delta Live Tables pipeline?,A key-value pair configuration,At least one notebook library to be executed,A path to cloud storage location for the written data,A location of a target database for the written data,,,B,single,4,1,https://www.examtopics.com/discussions/databricks/view/153047-exam-certified-data-engineer-associate-topic-1-question-154/,13,"Lors de la création d'un nouveau pipeline Delta Live Tables, il est essentiel de spécifier au moins une bibliothèque de notebooks à exécuter, ce qui correspond au choix B. Cela est nécessaire car le pipeline doit savoir quel code exécuter pour traiter et transformer les données. Les autres choix, tels qu'une paire clé-valeur de configuration (A), un emplacement de stockage cloud pour les données écrites (C), et un emplacement d'une base de données cible pour les données écrites (D), sont des configurations supplémentaires qui peuvent être spécifiées, mais ne sont pas obligatoires pour la création initiale du pipeline."
63,1,In which of the following scenarios should a data engineer select a Task in the Depends On field of a new Databricks Job Task?,When another task needs to be replaced by the new task,When another task needs to successfully complete before the new task begins,When another task has the same dependency libraries as the new task,When another task needs to use as little compute resources as possible,,,B,single,4,1,https://www.examtopics.com/discussions/databricks/view/153048-exam-certified-data-engineer-associate-topic-1-question-155/,13,"La réponse correcte est B. Lorsqu'un ingénieur de données sélectionne une tâche dans le champ ""Depends On"" d'une nouvelle tâche de travail dans Databricks, cela signifie que la nouvelle tâche doit attendre que l'autre tâche se termine avec succès avant de commencer. Cela permet de créer une dépendance séquentielle entre les tâches, garantissant que les étapes du flux de travail s'exécutent dans le bon ordre. Les autres choix, tels que A, C, et D, ne concernent pas la gestion des dépendances séquentielles entre les tâches, mais plutôt le remplacement de tâches, le partage de bibliothèques ou l'optimisation des ressources, qui ne sont pas pertinents pour le champ ""Depends On""."
64,1,"A data engineering team has two tables. The first table march_transactions is a collection of all retail transactions in the month of March. The second table april_transactions is a collection of all retail transactions in the month of April. There are no duplicate records between the tables.

Which of the following commands should be run to create a new table all_transactions that contains all records from march_transactions and april_transactions without duplicate records?","CREATE TABLE all_transactions AS
SELECT * FROM march_transactions
INNER JOIN SELECT * FROM april_transactions;","CREATE TABLE all_transactions AS
SELECT * FROM march_transactions
UNION SELECT * FROM april_transactions;","CREATE TABLE all_transactions AS
SELECT * FROM march_transactions
OUTER JOIN SELECT * FROM april_transactions;","CREATE TABLE all_transactions AS
SELECT * FROM march_transactions
INTERSECT SELECT * from april_transactions;",,,B,single,4,1,https://www.examtopics.com/discussions/databricks/view/153053-exam-certified-data-engineer-associate-topic-1-question-156/,13,"La réponse correcte est B. La commande UNION est utilisée pour combiner les résultats de deux requêtes SELECT tout en éliminant les doublons. Dans ce contexte, cela signifie que toutes les transactions de mars et d'avril seront combinées dans la nouvelle table all_transactions sans duplication, même si des doublons existaient (ce qui n'est pas le cas ici). L'option A utilise INNER JOIN, qui ne convient pas car elle ne combine que les lignes avec des correspondances dans les deux tables. L'option C utilise OUTER JOIN, qui n'élimine pas les doublons. L'option D utilise INTERSECT, qui ne conserve que les enregistrements communs aux deux tables, ce qui n'est pas souhaité ici."
65,1,How can Git operations must be performed outside of Databricks Repos?,Commit,Pull,Merge,Clone,,,C,single,4,6,https://www.examtopics.com/discussions/databricks/view/153054-exam-certified-data-engineer-associate-topic-1-question-157/,13,"Dans Databricks Repos, certaines opérations Git doivent être effectuées en dehors de l'environnement pour éviter des conflits ou des problèmes de synchronisation. Parmi les choix proposés, l'opération ""Merge"" (C) est celle qui doit être réalisée en dehors de Databricks Repos. Cela est dû au fait que le processus de fusion peut entraîner des conflits complexes qui nécessitent une résolution manuelle, ce qui est mieux géré dans un environnement Git complet. Les autres opérations, telles que Commit (A), Pull (B) et Clone (D), peuvent généralement être effectuées directement dans Databricks Repos sans problème."
66,1,"A data engineer has joined an existing project and they see the following query in the project repository:

CREATE STREAMING LIVE TABLE loyal_customers AS

SELECT customer_id -
FROM STREAM(LIVE.customers)
WHERE loyalty_level = 'high';

Which of the following describes why the STREAM function is included in the query?",The STREAM function is not needed and will cause an error.,The data in the customers table has been updated since its last run.,The customers table is a streaming live table.,The customers table is a reference to a Structured Streaming query on a PySpark DataFrame.,,,C,single,4,1,https://www.examtopics.com/discussions/databricks/view/153055-exam-certified-data-engineer-associate-topic-1-question-158/,14,"La réponse correcte est C. La fonction STREAM est utilisée dans la requête pour indiquer que la table ""customers"" est une table de diffusion en continu (streaming live table). Cela signifie que les données de cette table sont traitées en continu, et la fonction STREAM permet de lire ces données en temps réel. L'option A est incorrecte car la fonction STREAM est nécessaire pour traiter les données en streaming. L'option B est incorrecte car l'utilisation de STREAM n'est pas liée à la mise à jour des données, mais à leur traitement en continu. Enfin, l'option D est incorrecte car il n'est pas mentionné que la table ""customers"" est une référence à une requête Structured Streaming sur un DataFrame PySpark."
67,1,Which Structured Streaming query is performing a hop from a Silver table to a Gold table?,,,D.,,,,D,single,1,3,https://www.examtopics.com/discussions/databricks/view/152588-exam-certified-data-engineer-associate-topic-1-question-159/,14,"La réponse correcte est D. D car, dans le contexte de la gestion des données avec Delta Lake, un ""hop"" d'une table Silver à une table Gold implique le déplacement ou la transformation des données d'une table de niveau intermédiaire (Silver) vers une table de niveau supérieur (Gold). Les tables Silver contiennent généralement des données nettoyées et enrichies, tandis que les tables Gold sont optimisées pour l'analyse et les rapports. L'option D. D indique spécifiquement ce type de mouvement ou transformation de données, ce qui en fait la réponse appropriée. Les autres choix ne mentionnent pas explicitement ce processus de passage de Silver à Gold."
68,1,Which of the following commands can be used to write data into a Delta table while avoiding the writing of duplicate records?,DROP,IGNORE,MERGE,APPEND,INSERT,,C,single,5,17,https://www.examtopics.com/discussions/databricks/view/104863-exam-certified-data-engineer-associate-topic-1-question-16/,14,"La commande correcte pour écrire des données dans une table Delta tout en évitant l'écriture de doublons est ""MERGE"". La commande MERGE permet de combiner des données provenant de deux tables en fonction d'une condition spécifiée, et elle est souvent utilisée pour mettre à jour, insérer ou supprimer des enregistrements de manière conditionnelle. Contrairement à MERGE, les commandes APPEND et INSERT ajoutent simplement des données à la table sans vérifier les doublons. Les commandes DROP et IGNORE ne sont pas pertinentes pour l'écriture de données dans une table Delta en évitant les doublons."
69,1,"A data organization leader is upset about the data analysis team’s reports being different from the data engineering team’s reports. The leader believes the siloed nature of their organization’s data engineering and data analysis architectures is to blame.

Which of the following describes how a data lakehouse could alleviate this issue?",Both teams would respond more quickly to ad-hoc requests,Both teams would use the same source of truth for their work,Both teams would reorganize to report to the same department,Both teams would be able to collaborate on projects in real-time,,,B,single,4,1,https://www.examtopics.com/discussions/databricks/view/152590-exam-certified-data-engineer-associate-topic-1-question-160/,14,"Un data lakehouse combine les avantages d'un data lake et d'un data warehouse, fournissant une plateforme unifiée pour le stockage et l'analyse des données. En choisissant l'option B, ""Both teams would use the same source of truth for their work"", cela signifie que les équipes d'analyse de données et d'ingénierie de données accèdent aux mêmes données centralisées et cohérentes, éliminant ainsi les incohérences entre leurs rapports. Contrairement à l'option A, qui se concentre sur la rapidité de réponse, ou à l'option D, qui met l'accent sur la collaboration en temps réel, l'option B garantit que toutes les équipes travaillent à partir des mêmes données fiables. L'option C, qui suggère une réorganisation hiérarchique, ne résout pas directement le problème de la disparité des données."
70,1,"A data analyst has developed a query that runs against Delta table. They want help from the data engineering team to implement a series of tests to ensure the data returned by the query is clean. However, the data engineering team uses Python for its tests rather than SQL.

Which of the following operations could the data engineering team use to run the query and operate with the results in PySpark?",SELECT * FROM sales,spark.delta.table,spark.sql,spark.table,,,C,single,4,1,https://www.examtopics.com/discussions/databricks/view/152591-exam-certified-data-engineer-associate-topic-1-question-161/,14,"La réponse correcte est C. spark.sql. La méthode `spark.sql` permet d'exécuter des requêtes SQL directement dans un environnement PySpark. Cela signifie que le data engineering team peut utiliser cette méthode pour exécuter la requête SQL développée par l'analyste de données et obtenir les résultats sous forme de DataFrame PySpark, ce qui facilite l'application de tests en Python. Les autres choix, comme A. `SELECT * FROM sales`, est une instruction SQL brute et non une méthode utilisable dans PySpark. B. `spark.delta.table` et D. `spark.table` sont des méthodes pour accéder aux tables, mais ne permettent pas d'exécuter directement des requêtes SQL complètes."
71,1,"A data engineer has a Job that has a complex run schedule, and they want to transfer that schedule to other Jobs.

Rather than manually selecting each value in the scheduling form in Databricks, which of the following tools can the data engineer use to represent and submit the schedule programmatically?",pyspark.sql.types.DateType,datetime,pyspark.sql.types.TimestampType,Cron syntax,,,D,single,4,1,https://www.examtopics.com/discussions/databricks/view/153060-exam-certified-data-engineer-associate-topic-1-question-162/,15,"La syntaxe Cron (réponse D) est un outil puissant pour représenter et soumettre des horaires de manière programmatique. Elle permet de définir des horaires complexes en utilisant une syntaxe concise qui spécifie les minutes, heures, jours du mois, mois et jours de la semaine. Contrairement aux autres choix, comme pyspark.sql.types.DateType (A) et pyspark.sql.types.TimestampType (C), qui sont utilisés pour définir des types de données dans PySpark, ou datetime (B), qui est une bibliothèque Python pour manipuler des dates et heures, Cron est spécifiquement conçu pour la planification des tâches. Cela en fait l'outil idéal pour transférer des horaires complexes entre différents travaux dans Databricks."
72,1,"A data engineer and data analyst are working together on a data pipeline. The data engineer is working on the raw, bronze, and silver layers of the pipeline using Python, and the data analyst is working on the gold layer of the pipeline using SQL. The raw source of the pipeline is a streaming input. They now want to migrate their pipeline to use Delta Live Tables.

Which of the following changes will need to be made to the pipeline when migrating to Delta Live Tables?",The pipeline will need to be written entirely in Python,The pipeline will need to stop using the medallion-based multi-hop architecture,The pipeline will need to be written entirely in SQL,The pipeline will need to use a batch source in place of a streaming source,,,D,single,4,5,https://www.examtopics.com/discussions/databricks/view/152592-exam-certified-data-engineer-associate-topic-1-question-163/,15,"La réponse correcte est D. Lors de la migration vers Delta Live Tables, il n'est pas nécessaire de remplacer une source de streaming par une source par lots. Delta Live Tables prend en charge les sources de données en streaming, ce qui permet de conserver la source de streaming existante. Les choix A et C sont incorrects car Delta Live Tables permet d'écrire des pipelines en utilisant à la fois Python et SQL, donc il n'est pas nécessaire de réécrire le pipeline entièrement dans l'un ou l'autre langage. Le choix B est incorrect car Delta Live Tables prend en charge l'architecture multi-hop basée sur le modèle médaille (bronze, argent, or), ce qui permet de conserver cette structure."
